Date and Time,Rainfall units,Cumulative Rainfall  (cm) ,Rainfall (cm)
12/28/20 14:54,159,3.18,0.02
12/28/20 14:56,160,3.2,0.02
12/28/20 14:58,161,3.22,0.02
12/28/20 15:01,162,3.24,0.02
12/28/20 15:03,163,3.26,0.02
12/28/20 15:06,164,3.28,0.02
12/28/20 15:15,165,3.3,0.02
12/28/20 15:36,166,3.32,0.02
12/28/20 17:01,167,3.34,0.02
12/28/20 17:10,168,3.36,0.02
12/28/20 17:20,169,3.38,0.02
12/28/20 17:23,170,3.4,0.02
12/28/20 17:27,171,3.42,0.02
12/28/20 17:30,172,3.44,0.02
12/28/20 17:32,173,3.46,0.02
12/28/20 17:34,174,3.48,0.02
12/28/20 17:37,175,3.5,0.02
12/28/20 17:40,176,3.52,0.02
12/28/20 17:44,177,3.54,0.02
12/28/20 17:47,178,3.56,0.02
12/28/20 17:49,179,3.58,0.02
12/28/20 17:52,180,3.6,0.02
12/28/20 17:57,181,3.62,0.02
12/28/20 18:03,182,3.64,0.02
12/28/20 18:07,183,3.66,0.02
12/28/20 18:10,184,3.68,0.02
12/28/20 18:12,185,3.7,0.02
12/28/20 18:14,186,3.72,0.02
12/28/20 18:18,187,3.74,0.02
12/28/20 18:20,188,3.76,0.02
12/28/20 18:24,189,3.78,0.02
12/28/20 18:31,190,3.8,0.02
12/28/20 18:48,191,3.82,0.02
12/28/20 19:50,192,3.84,0.02
12/28/20 22:41,193,3.86,0.02
12/29/20 7:49,194,3.88,0.02
12/29/20 7:50,195,3.9,0.02
12/29/20 7:50,196,3.92,0.02
12/29/20 7:51,197,3.94,0.02
12/29/20 7:51,198,3.96,0.02
12/29/20 7:57,199,3.98,0.02
12/29/20 8:02,200,4,0.02
12/29/20 8:06,201,4.02,0.02
12/29/20 8:14,202,4.04,0.02
12/29/20 8:19,203,4.06,0.02
12/29/20 8:24,204,4.08,0.02
12/29/20 8:30,205,4.1,0.02
12/29/20 8:34,206,4.12,0.02
12/29/20 8:36,207,4.14,0.02
